注意（必ずお読みください）
この CSV は Claude が公式サイト等から作成した「下書き（たたき台）」です。確定データではありません。
- jan（JANコード）は信頼できる一覧が公開されておらず、誤りを避けるため原則 空欄にしています。実物のバーコードを読み取って各自で埋めてください。
- color_key（色系統）は色名から Claude が推定した目安です。実際の色味で適宜直してください。
- needs_check 列が yes の行は、特に確認が必要な箇所です。
- ファレホは公式カタログ（Catalogo 2026 R02）から番号・英語名を抽出して収録しました（Model Color / Model Air / Mecha Color / Game Color / Metal Color の単色、計666色）。note にカタログのページ番号を記載しています。
- True Metallic Metal / Game Air / Panzer Aces / Xpress Color / Premium Color / Liquid Gold は今回のカタログから確実に抽出できなかったため、シリーズ枠のみ残しています（name が「（...）」の行は取込時にスキップ。色を足すには行を複製し name と code を実物に書き換え）。
- 日本語名を取り込みたい場合は、ヘッダに name_ja 列を足し、各行に日本語名を書いてください（任意）。空欄や列なしの場合は英語名で表示します。
- name_ja（日本語名）は、英語名をきれいにカタカナ化できた色にだけ自動で入れた「参考の読み」です。公式の日本語名ではありません。固有色名を含むものは空欄（英語名で表示）にしています。公式名が分かるものは上書きしてください。
- Game Air（76.xxx・51色）は CC298 Game Air R02 の対応表から追加しました。
- Gaahleri（84色）は公式サイトの商品ページ（色見本・日本語名つき）から収録しました。hexは色見本からの目安、日本語名は公式表記です。JANは未収録。
- 採番規則：Model Color=70.xxx / Model Air=71.xxx / Mecha Color=69.xxx / Game Color=72.xxx / Game Air=72.7xx中心 / Metal Color=77.7xx / Panzer Aces=70.3xx / True Metallic Metal・Xpress Color・Premium Color・Liquid Gold=手元のボトルで要確認

maker,series,name,name_ja,code,jan,color_key,hex,needs_check,note
Gaahleri,Metal,Zirconium Black,ジルコニウムブラック,KM001,,black,#2b2b2d,no,公式サイト色見本より
Gaahleri,Metal,Gun Metal,ガンメタル,KM002,,metal,#6f7175,no,公式サイト色見本より
Gaahleri,Metal,Tungsten Steel,タングステンスチール,KM003,,metal,#c9cdc9,no,公式サイト色見本より
Gaahleri,Metal,Titanium Alloy,チタニウムアロイ,KM004,,metal,#cfc9bd,no,公式サイト色見本より
Gaahleri,Metal,Stainless Steel,ステンレススチール,KM005,,metal,#c2c4c6,no,公式サイト色見本より
Gaahleri,Metal,Silver,シルバー,KM006,,metal,#cfd2d4,no,公式サイト色見本より
Gaahleri,Metal,Aluminium,アルミニウム,KM007,,metal,#c6c9cc,no,公式サイト色見本より
Gaahleri,Metal,Red Copper,レッドカッパー,KM008,,metal,#b07a5e,no,公式サイト色見本より
Gaahleri,Metal,Copper,カッパー,KM009,,metal,#c79152,no,公式サイト色見本より
Gaahleri,Metal,Scorched Gold,スコーチドゴールド,KM010,,metal,#b08d5a,no,公式サイト色見本より
Gaahleri,Metal,Champagne Gold,シャンパンゴールド,KM011,,metal,#c9a96a,no,公式サイト色見本より
Gaahleri,Metal,Flashy Gold,フラッシーゴールド,KM012,,metal,#d2a23c,no,公式サイト色見本より
Gaahleri,Primary,White,ホワイト,K001,,white,#eef0ef,no,公式サイト色見本より
Gaahleri,Primary,Black,ブラック,K002,,black,#1d1d1f,no,公式サイト色見本より
Gaahleri,Primary,Red,レッド,K003,,red,#c01f24,no,公式サイト色見本より
Gaahleri,Primary,Orange,オレンジ,K004,,orange,#e8662a,no,公式サイト色見本より
Gaahleri,Primary,Yellow,イエロー,K005,,yellow,#f1c40f,no,公式サイト色見本より
Gaahleri,Primary,Green,グリーン,K006,,green,#2f9e54,no,公式サイト色見本より
Gaahleri,Primary,Blue,ブルー,K007,,blue,#2236a8,no,公式サイト色見本より
Gaahleri,Primary,Purple,パープル,K008,,purple,#6b3fa0,no,公式サイト色見本より
Gaahleri,Auto,Italian Racing Red,イタリアンレーシングレッド,K201,,red,#d2241f,no,公式サイト色見本より
Gaahleri,Auto,Flame Orange,,K202,,orange,,no,公式色名より
Gaahleri,Auto,Modena Yellow,モデナイエロー,K203,,yellow,#f2c012,no,公式サイト色見本より
Gaahleri,Auto,Mint Green,ミントグリーン,K204,,green,#6fd0a8,no,公式サイト色見本より
Gaahleri,Auto,Racing Emerald,,K205,,green,,no,公式色名より
Gaahleri,Auto,Baby Blue,ベビーブルー,K206,,blue,#9cc7e0,no,公式サイト色見本より
Gaahleri,Auto,Scotia Blue,スコティアブルー,K207,,blue,#22439a,no,公式サイト色見本より
Gaahleri,Auto,Track Gray,トレースグレー,K208,,gray,#6a6e71,no,公式サイト色見本より
Gaahleri,Auto,Diamond White,ダイヤモンドホワイト,K301,,white,#e9ebec,no,公式サイト色見本より
Gaahleri,Auto,Cosmic Black,コズミックブラック,K302,,black,#1d1d1f,no,公式サイト色見本より
Gaahleri,Auto,Metallic Racing Red,メタリックレーシングレッド,K303,,red,#c0231f,no,公式サイト色見本より
Gaahleri,Auto,Magma Orange,マグマオレンジ,K304,,orange,#e23a1f,no,公式サイト色見本より
Gaahleri,Auto,Lustrous Orange,ラストラスオレンジ,K305,,orange,#e8742a,no,公式サイト色見本より
Gaahleri,Auto,Verde Green,ヴェルデグリーン,K306,,green,#8fb83c,no,公式サイト色見本より
Gaahleri,Auto,Turquoise,ターコイズ,K307,,green,#1f9e84,no,公式サイト色見本より
Gaahleri,Auto,Metallic Oak Green,,K308,,green,,no,公式色名より
Gaahleri,Auto,Almond Green,,K309,,green,,no,公式色名より
Gaahleri,Auto,Inferno Green,インフェルノグリーン,K310,,green,#7fae6f,no,公式サイト色見本より
Gaahleri,Auto,Rally Spirit Blue,ラリースピリットブルー,K311,,blue,#1f8fd0,no,公式サイト色見本より
Gaahleri,Auto,Liquid Blue,リキッドブルー,K312,,blue,#2f7fc0,no,公式サイト色見本より
Gaahleri,Auto,Metallic Blue Gray,メタリックブルーグレー,K313,,gray,#8aa0b0,no,公式サイト色見本より
Gaahleri,Auto,Metallic Purple Red,メタリックパープルレッド,K314,,purple,#a06a80,no,公式サイト色見本より
Gaahleri,Auto,Twilight Purple,トワイライトパープル,K315,,purple,#8a5ca8,no,公式サイト色見本より
Gaahleri,Auto,Graphite Gray,グラファイトグレー,K316,,gray,#9aa0a6,no,公式サイト色見本より
Vallejo,True Metallic Metal,（色名と番号を各自追記）,,,,metal,,yes,シリーズ枠。採番規則は手元のボトルで要確認（Metal Color 77.7xx とは別ライン）
Vallejo,Panzer Aces,（色名を各自追記。番号は 70.3xx 形式）,,70.3,,other,,yes,シリーズ枠。例 70.333 German Tankcrew Black
Vallejo,Xpress Color,（色名を各自追記）,,,,other,,yes,シリーズ枠。採番は手元のボトルで要確認
Vallejo,Premium Color,（色名を各自追記）,,,,other,,yes,シリーズ枠。採番は手元のボトルで要確認
Vallejo,Liquid Gold,（色名を各自追記）,,,,metal,,yes,シリーズ枠。採番は手元のボトルで要確認
Vallejo,Mecha Color,Pure White,,69.001,,white,#ffffff,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,White Grey,ホワイトグレー,69.002,,white,#bdbaa9,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Off-White,オフホワイト,69.003,,white,#ebe3c9,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Yellow,イエロー,69.004,,yellow,#e59800,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Light Flesh,ライトフレッシュ,69.005,,brown,#fbc991,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Pink,ピンク,69.006,,pink,#d5745f,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Orange,オレンジ,69.007,,orange,#e84b19,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Red,レッド,69.008,,red,#a8201b,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,SZ Red,,69.009,,red,#912322,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Magenta,マゼンタ,69.010,,purple,#8b2a5f,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Dark Red,ダークレッド,69.011,,red,#601320,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Purple,パープル,69.012,,purple,#8f6aa5,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Titan Blue,,69.013,,blue,#121e2d,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Grey Green,グレーグリーン,69.014,,gray,#465759,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Blue Grey,ブルーグレー,69.015,,gray,#46656f,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Light Blue,ライトブルー,69.016,,blue,#435f7a,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Sky Blue,スカイブルー,69.017,,blue,#08abce,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Deep Blue,ディープブルー,69.018,,blue,#005f92,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Blue,ブルー,69.019,,blue,#1c2347,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Electric Blue,エレクトリックブルー,69.020,,blue,#1b245c,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Dark Blue,ダークブルー,69.021,,blue,#20313f,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Titan Dark Blue,,69.022,,blue,#121c1c,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Turquoise,ターコイズ,69.023,,blue,#00777b,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Stone Grey,ストーングレー,69.024,,gray,#768c89,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Light Green,ライトグリーン,69.025,,green,#b8b8a7,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Green,グリーン,69.026,,green,#76826a,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Green Blue,グリーンブルー,69.027,,green,#618662,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Olive Green,オリーブグリーン,69.028,,green,#50623c,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Deep Green,ディープグリーン,69.029,,green,#646d57,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Dark Green,ダークグリーン,69.030,,green,#353525,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Grey Sand,グレーサンド,69.031,,gray,#908472,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Yellow Ochre,イエローオーカー,69.032,,yellow,#ae7020,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Sand Yellow,サンドイエロー,69.033,,yellow,#f5bf57,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Brown,ブラウン,69.034,,brown,#6a4b31,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Chipping Brown,,69.035,,brown,#2b1e17,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Light Grey,ライトグレー,69.036,,gray,#77817e,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Grey,グレー,69.037,,gray,#5c6760,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Grey Z,,69.039,,gray,#50524e,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Phantom Grey,,69.040,,gray,#222c2e,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Dark Grey Green,ダークグレーグリーン,69.041,,gray,#34312f,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Pure Black,,69.042,,black,#000000,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Yellow Fluorescent,,69.054,,yellow,#e0de12,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Orange Fluorescent,,69.055,,orange,#e84610,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Magenta Fluorescent,,69.056,,purple,#e40074,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Green Fluorescent,,69.057,,green,#27a737,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Gunmetal,ガンメタル,69.058,,metal,#80807e,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Gold,ゴールド,69.059,,metal,#d7b771,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Old Gold,オールドゴールド,69.060,,metal,#c1ab7e,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Copper,カッパー,69.061,,metal,#ba896b,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Bronze,ブロンズ,69.062,,metal,#af9765,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Steel,スチール,69.063,,metal,#aba6a3,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Light Steel,ライトスチール,69.064,,metal,#c7c8cb,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Dark Steel,ダークスチール,69.065,,metal,#959394,no,Catalogo 2026 R02 p82
Vallejo,Mecha Color,Metallic Red,,69.066,,metal,#d08881,no,Catalogo 2026 R02 p82
